$100-a-plate dinner	tuluõhtu, heategevuslik bankett
bonbon	šokolaadikomm
bon-bon	šokolaadikomm
bond	side, obligatsioon, kautsjon ; siduma, pantima
bondable	kokkuseotav, kinnitatav
bondage	orjus, pärisorjus
bonded	tolli-, tollivaba-, tagatisega, kahekihiline (riie)
bonded warehouse	tolliladu
bondholder	võlakohustuse omanik
bonding	sidumine, sidemed, liimimine
bond issue	väärtpaberiemissioon
bondmaid	orjatar, palgata teenijanna
bondman	ori, palgata teenija
bond of matrimony	abieluside
bond paper	kvaliteetpaber
bondservant	ori, palgata teenija
bond servant	ori, palgata teenija
bond-servant	ori, palgata teenija
bondslave	pärisori
bondsman	käendaja
bone	luu, kont ; tuupima, konditustama ; luu-
bone ash	kondituhk
bone cell	luurakk
bone china	kondiportselan
bone crusher	kondipurustaja (ka Ford T)
bone-crushing	purustav
boned	puhastatud, luudeta
bonedry	purukuiv, tuhkkuiv
bone-dry	purukuiv, tuhkkuiv
bone dust	kondijahu
bone fat	kondirasv
bone fracture	luumurd
bone grinder	kondiveski
bone-hard	kivikõva
bonehead	puupea
boneheaded	puupäine, luupäine (saurus)
bone idle	üdini laisk
bone-idle	üdini laisk
bone-lazy	üdini laisk
boneless	luudeta, selgrootu
Bonelli's eagle	haugaskotkas (Hieraeetus fasciatus)
bone marrow	luuüdi
bonemeal	kondijahu, kondiväetis
bone of contention	tüliõun
bone of my bones	luu minu luust
bone oil	kondiõli
bone pain	luuvalu
bone porcelain	kondiportselan
boner	rumal viga, apsakas, kõvaksminemine
boners	sissekukkumised
bones	luud, kondid, luud-liikmed, sõrmeklõbistid
boneset	vermerohi (Symphytum), vesikanep
bonesetter	konditohter
boneshaker	autologu, kondiraputaja, sääreväristaja
bone up	tuupima
bone-weary	rampväsinud
bone-white	luuvalge
boney	kondine, luider
bonfire	pidutuli, jaanituli
bong	helisema (kirikukellad vms)
bongo	bongo (väike käsitrumm)
bongo drum	bongo (väike käsitrumm)
bonheur	heatujuline
bonhomie	sõbralikkus, seltsivus
boniface	võõrastemajapidaja, klubiomanik
Boniface	Bonifatius
Bonin Islands	Ogasawara
bonito	pelamiid
bonjour	tere päevast
bonk	kargama, koinima (suguühtes olema) ; tänavakorvpall
bonked	uimaseks löödud
bonkers	segane (hull)
bonking	suksutamine, kargamine
bon mot	sõnaosav sisukas repliik
bonnet	tanu, kapott
bonnibel	kaunis neidis
bonnie	kaunis ; silmarõõm
bonny	nägus, kaunis ; silmarõõm
bonobo	bonobo (inimahv)
bonsai	bonsai (dekoratiivne kääbusmänd)
bon ton	moeeliit, moeese, hea toon, õige käitumine
bon-ton	moeeliit
bonus	boonus, preemia, lisa-
bonus system	premeerimissüsteem
bon vivant	elunautija, gurmaan
bon-vivant	elunautija, gurmaan
bon voyage	head reisi
bony	luider, kondine, luine
bonzer	vahva
boo	häbi, päh ; välja vilistama
boo at	välja vilistama, maha karjuma
boob	tiss, tohman, võhik ; eksima
boobies	tissid
booboisie	harimatud massid, idiootidest kodanlased
boo-boo	piinlik viga
boobs	tissid
boob tube	telekas, pildikast
booby	tolvan, tobu, suula
booby hatch	hullumaja, seevald
booby prize	lohutusauhind
booby trap	maamiin
booby-trap	maamiin
booby-trapped	mineeritud
boodle	pistis, kaardimäng ; pistist võtma
booger	konn (kuivanud tatt), koll
boogerman	koll
boogeyman	koll
boogie	bugi ; tantsima, pidu panema, pihta hakkama
boogie-woogie	bugi-vugi (bluusi instrumentaalvorm, tants)
book	raamat, arveraamat ; reserveerima, pokri pistma
Book	Piibel
bookable	ettetellitav
book agent	raamatute müügimees
book bag	ranits
bookbinder	raamatuköitja
bookbindery	köitekoda
bookbinding	köide, kaaned, köitmine
bookcase	raamaturiiul
book-case	raamaturiiul
book club	raamatuühing
bookdealer	raamatumüüja
booked	reserveeritud, ette tellitud
bookend	raamatuhoidja (riiulis, laual)
bookends	raamatutoed (riiulis)
booker	raamatupidaja, üleskirjutaja, tellija
book exhibition	raamatunäitus
book fair	raamatunäitus, raamatumess
bookie	kihlvedude vahendaja
book in	registreeruma, sisse kirjutama
booking	ettetellimine, kirjendamine
booking clerk	piletimüüja
booking office	piletikassa, eelmüügikassa
bookish	õpetatud, raamatulik
book jacket	ümbrispaber
bookkeeper	raamatupidaja
book-keeper	raamatupidaja
bookkeeping	raamatupidamine
book-keeping	raamatupidamine
book knowledge	raamatuteadmised
book-latin	raamatu-ladina keel
booklet	brošüür
booklice	raamatutäi
booklover	raamatusõber, bibliofiil
bookmaker	kihlvedude vahendaja, trükkal
bookmark	järjehoidja
bookmarker	järjehoidja
bookmobile	raamatubuss, rändraamatukogu
Book oath	Piiblil antud vanne
book of account	arveraamat
Book of Books	Raamatute raamat, Piibel
Book of Changes	Muutuste raamat, I ching
Book of Common Prayer	igapäevaste palvuste raamat (anglikaani kirikus)
Book of Judges	Kohtumõistjate raamat
Book of Mormon	Mormoni Raamat
Book of the Dead	Surnute Raamat
book of verse	luulekogu
bookplate	eksliibris
book-plate	eksliibris
book post	raamatupost
book printer	trükkal
book production	raamatutoodang
book publisher	raamatukirjastaja
bookrest	lugemisraam
book review	retsensioon, raamatuarvustus
book reviewer	kriitik, raamatukriitik
book reviewing	retsenseerimine
book scorpion	raamatuskorpion (Chelifer cancroides)
bookseller	raamatukaupmees
bookshelf	raamaturiiul
bookshelves	raamaturiiulid
bookshop	raamatupood
books of account	arveraamatud
bookstall	ajalehekiosk, raamatumüükla
bookstore	raamatupood
book up	kinni panema, reserveerima
book value	arvestusväärtus
bookworm	raamatukoi
boolean	kahend-
Boolean algebra	Boole'i algebra
boom	õitseng, buum, poom, kõmin ; kosuma, kõmisema
boom defence	boontõke
boomer	-, USAs 50ndatel beebibuumi ajal sündinu
boomerang	bumerang, tagasilöök ; algataja vastu pöörduma
boomerang response	bumerangiefekt
booming	õitsev, elav, kõmisev
boom out	liblikasse viima
boomtown	arenev linn, õitsev linnake
boon	õnnistus, nauding ; lähedane
boon companion	lähedane sõber
boondocks	kolgas, tihe põõsastik
boondoggle	tühja tööd tegema, liiva sõeluma
Boone	Boone, pioneer, maadeavastaja (= Daniel Boone)
boong	(Au, halv) boong, aborigeen
boonies	kolgas
boor	mats, mühakas
boorish	matslik, mühaklik
boorishly	matslikult
boorishness	mühaklus
boost	innustus, tõuge ; tõstma, võimendama, upitama
booster	võimendi, kanderakett, edendaja, vitriinivaras
booster amplifiers	vahevõimendi
booster dose	lisaannus
booster rocket	kanderakett
boosters	võimendi
booster shot	lisaannus
booster stations	vahevõimendi
booster unit	kanderakett
boot	saabas, pakiruum ; jalaga lööma, alglaadima
bootblack	saapapuhastaja
boot cleaner	saapapuhastaja
booted	saabastes
booted and spurred	võitlusvalmis
booted eagle	kääbuskotkas (Hieraeetus pennatus)
booted warbler	väike-käosulane (Hippolais caligata)
bootee	papu (villane lastesuss)
Bootes	Karjane (tähtkuju)
booth	putka, kabiin, vaheseintega eraldatud ala
bootie	papu
booting out	väljaviskamine, vallandamine
bootjack	saapasulane
bootlace	saapapael (Br)
bootleg	sala- ; saapasäär ; salakaubana müüma
bootlegger	salaviina müüja
bootlegging	salaviina valmistamine, piraaditsemine
bootless	viljatu, tulutu, nüri
bootlick	lipitsema, pugema
bootlicker	tallalakkuja
bootlicking	tallalakkumine
bootmaker	saapavalmistaja, kingsepp
boot out	kinga andma, välja viskama, vallandama
boot polish	saapamääre
boots	saapad
boots and all	nui neljaks, ihust ja hingest
bootstrap	saapanöör ; omal jõul toime tulema
boot tree	saapaveniti, saapaliist
booty	röövsaak, sõjasaak
booze	kärakas, märjuke ; kärakat panema, purjutama
boozed	purjakil
boozer	viinanina
booze up	pummelung, joomapidu
booze-up	pummelung, joomapidu
boozing	purjutamine
boozy	purjakil, purjus
bop	bop (jazz) ; lajatama
Bopomofo	Bopomofo (hiina tähestikkiri)
bora	boora
Bora Bora	Bora Bora
Borassus	palmüürapalm
borate	boraat
borax	booraks (Na2B4O7-10H2O)
borborygm	kõhukorin (er pärast söömist)
borborygmi	kõhukorinad
borborygmic	korisev, kõhukorina-
borborygmus	kõhukorin
Bordeaux	Bordeaux, bordoo vein
Bordeaux mixture	bordoo vedelik
Bordeaux red	bordoopunane
bordello	bordell
border	piir, serv, ääristus ; piirnema, ümbritsema
border area	piiriala, piiritsoon
border collie	borderkolli
border crossing	piiriületus, piiri ületamine
bordered	ääristatud
borderer	piirialade elanik
border guard	piirivalvur, piirivalve
border guard station	piirivalvekordon
bordering	piirnev, külgnev
borderland	piiriala, piiritsoon
borderline	piir, piirjoon ; küsitava väärtusega
borderline case	piirjuhtum
bordermark	piirimärk
border on	liginema, meenutama, piirini jõudma
border service	piirivalve
border upon	liginema, meenutama, piirini jõudma
bordure	bordüür
bore	tüdimus, tüütus, tõusulaine ; tüütama, puurima
boreal	boreaalne (põhjapoolkera-)
Boreas	Boreas (põhjatuule jumal)
bore bit	kivipuur
bored	tüdinud
boredness	tüdimustunne
boredom	tüdimus, igavus
bored to death	surmani tüdinud
borehole	puurauk
borer	puur, oherdi, puurija, ürask
boresome	igav
bore to death	surmani tüütama
Boreus	talikoonlased
boric	boor-
boric acid	boorhape
boring	tüütu, igav ; puurimine
boringly	igavalt, tüütult
Boris	Boriss
born	sündinud
born again	uuesti sündinud, pöördunud
born before your time	enne oma aega sündinud
Bornean	borneolane
Borneo	Borneo
born in Estonia	sündinud Eestis
bornite	borniit (vasemaak)
born leader	sündinud juht
born out of wedlock	väljaspool abielu sündinud
born under a lucky star	õnnesärgis sündinud
born wild	vabana sündinud
boron	boor (B)
boronic	boor-
borough	vald, väikelinn, linnaosa
borough-English	noorima poja pärimisõigus maale
Borrelia	borrelioos
borrow	laenama
borrowed	laenatud, laen-
borrowed foreign words	võõrsõnavara
borrowed word	laensõna
borrower	laenaja
borrower's card	lugejapilet, raamatukogukaart, lugejakaart
borrowing	laenamine, laenutus, (ideede) kasutamine
borrowing right	kojulaenamisõigus (raamatukogust)
borrowing rules	laenutuseeskiri
borrow trouble	tüli tooma, asjatuid raskusi tekitama
borsch	borš
borscht	borš
borsht	borš
borstal	(Br) erikool (16-22 aastaste noorukite)
borzoi	borsoi hurt
Bosc	-, pirnisort
bosh	sõnakõlks, tühi jutt, mõttetus
bosk	salu, võsa
bosky	põõsastega kaetud, võsane
bo's'n	pootsman
Bosnia and Herzegovina	Bosnia ja Hertsegoviina
Bosnian	bosnia ; bosnialane, bosnia keel
bosom	rind, põu, rüpp, sisemus ; südame- ; põue pistma
bosom buddy	südamesõber
bosomed	rinnaline, põuega
bosom friend	südamesõber
bosom friendship	südamesõprus
bosom piece	rinnalapp, rinnaosa
bosomy	rinnakas
boson	boson (elementaarosake)
Bosphorus	Bosporus
boss	boss, ülemus, mügar, vasikas ; kamandama ; tipp-topp
boss about	< boss around
boss around	(kedagi) kamandama
bosseyed	(Br) kõõrdsilmne
boss-eyed	(Br) kõõrdsilmne
bossily	kamandavalt, ülemuslikult
bossiness	ülemuslikkus
bossism	bossism (partei ainuisikuline juhtimine)
bossy	ülemuslik, kamandav
Bossy	Punik (vm tüüpiline lehma nimi)
boston	boston (tants, kaardimäng, riidesort)
Boston cream pie	kihiline sinepipirukas
Boston marriage	Bostoni abielu (kahe naise kooselu v suur sõprus)
bo'sun	pootsman
bosun	pootsman
bot	robot, kiini vastne, (lüh) botaanika
bota	lähker, nahast veinipudel
botanic	botaanika-
botanical	botaaniline, botaanika-
botanical garden	botaanikaaed
botanise	botaanikaga tegelema, taimi koguma
botanist	botaanik
botanize	botaanikaga tegelema, taimi koguma
botany	botaanika
Botany Bay	Botany Bay
Botaurus	hüüp
botch	vusserdis ; tuksi keerama, vussi ajama
botched	vussi aetud
botched-up	vussitud
botcher	vusserdaja
botchy	vusserdatud, algajalik, haltuura
both	mõlemad
bother	tüütama, tüli tegema ; tülin, nuhtlus
botheration	nuhtlus, tüütus ; on vast tüütu
bothered	murelik, endast väljas
bothersome	tüütu
bothersomely	tüütult
Bothnia	Botnia
botonee	butoon (vapirist)
botryoid	kobarakujuline
botryoidal	kobarakujuline
Botswana	Botswana, Botsvaana
bottle	pudel, balloon ; villima, pudelisse sulgema
bottlebrush	pudelihari
bottle brush	pudelihari
bottle-brush	pudelihari
bottle cap	pudelikork
bottle-capping	pudelikaanetus
bottled	villitud, pudelisse pandud
bottle deposit	(klaastaara) taaramaks
bottled gas	gaasiballoon
bottle-feed	lutiga toitma
bottle-filling	pudelivillimine
bottleful	pudelitäis
bottle green	pudeliroheline, tumehallikasroheline
bottleneck	pudelikael, kitsaskoht ; kitsenema
bottlenecks	kitsaskohad, ummikud
bottlenose dolphin	afaliin
bottle opener	pudeliavaja
bottle post	pudelpost
bottle screw	korgitser
bottle stopper	pudelikork
bottle tree	pudelipuu (Brachychiton)
bottle up	maha suruma, enesesse peitma
bottle-washing	pudelipesu
bottling	villimine
bottom	põhi, tagumik, jalam, kaubalaev ; alam-, põhja-
bottom dollar	viimane sent
bottom drawer	alumine sahtel, kolikast
bottom fisher	põhjani langenud aktsiate kokkuostja
bottomless	põhjatu, piiritu, püksatu
bottomless depths	põhjatud sügavikud
bottomlessly	lõputult
bottomlessness	põhjatus, piiritus
bottom line	kokkuvõte, otsustav hetk
bottommost	kõige alumine
bottom of the barrel	viimsed varud, näpud põhjas
bottom of the heart	südame põhi
bottom of the sea	merepõhi
bottom out	põhja jõudma, auto põhjaga maad riivama
bottom-road bridge	allsõidusild
bottomry	bodmerii
bottom side	põhi, alumine pool
bottoms up	põhjani
bottoms up!	põhjani!
bottom-up	ülenev, alt üles
bottom up	alt üles, lihtsamast keerulisemale
botuliform	vorstjas
botulin	botuliin (mürkaine)
botulism	botulism (toidumürgitus)
boucle	kotiriie
boudoir	buduaar
bouffant	kohev, puhevil
bougainvillaea	bugenvillea (ronitaim)
bougainvillea	bugenvillea (ronitaim)
bough	puuharu, jäme oks
boughed	jämedaharuline, okslik
boughless	oksteta
bought	ostma
boughten	ostetud
bought ready-to-wear	valmisrõivas
bought the farm	langes lahingus
bougie	bužii, avarduspulk
bouillabaisse	bouillabaisse (kalasupp tomati, küüslaugu jms)
bouillon	puljong
bouillon cube	puljongikuubik
boulder	rahn, rändrahn
boulder clay	moreen
bouldered	kivine, rahnuline
boulder field	kivikülv
bouldery	kivine, rahnuline
boulevard	puiestee
boulevardier	pühapäevajalutaja, seltskondlik linlane, salongilõvi
bouleversement	pea peale pööramine, ümberpöörd
bounce	põrkama, põrkuma, püsti hüppama ; põrge
bounce an idea off you	(kelleltki) oma idee kohta esmamuljet küsima
bounce back	kosuma, vastulööki andma
bounced check	välja maksmata jäänud tšekk
bouncer	väljaviskaja
bounciness	elastsus, põrkuvus
bouncing baby	hüplev, elav, täie tervise juures
bouncing betty	maamiin, vana Ford
bouncy	põrkav, elav
bound	seotud ; piiritlema, piirnema, hüplema ; piir
boundary	piirjoon, piir
boundary condition	piirtingimus
boundary line	piirjoon
boundary stone	piirikivi
boundary symbol	piirisümbol
bound book	köidetud raamat
bounded	piiritletud, piiratud, koonduv, lõplik
boundedness	koonduvus, lõplikkus
bound electron	seotud elektron
bounden	kohustuslik
bounden duty	moraalne kohus
bound for	suunduv
bounding	hüplev
boundless	piiritu
boundlessly	lõputult, piiritult
boundlessness	lõputus
bound meaning	seotud tähendus
bounds	piirid
bound to	kohustatud (olema), paratamatult (tegema)
bound up	tihedalt seotud, andunud
bound up in	haaratud, tegevuses
bound up with	seotud olema, sõltuv olema
bound variable	seotud muutuja
bounteous	heledekäeline
bountiful	heldekäeline, külluslik
bountifully	rikkalikult
bountifulness	üliküllus
bounty	küllus, heldekäelisus, and, pearaha, vaevatasu
bounty hunter	pearahakütt
bouquet	bukett (lillekimp, lõhnakompleks)
bourbon	burboon (viski)
bourdon	torupillivile
bourgeois	väikekodanlik ; väikekodanlane
bourgeoisie	keskklass, väikekodanlus
bourgeois taste	väikekodanlik maitse
bourgeon	punguma
bourgeoning	pungumine
Bourgogne	Burgundia
bourn	siht, piir, eesmärk
bourne	siht, piir
bourse	(Euroopa) börs
boustrophedon	- (kahesuunaline kiri, ka märgid on peegelpildis)
boustrophedonic	kahesuunaline
bout	hoog, raund, löögiring
boutique	boutique (moekaupade ja ehtepood)
bouton	nööp, butoon (ordenipael)
boutonniere	nööpaugulill, nööpauk
bouts-rimes	burimee
bovid	sõraline ; veis
Bovidae	veislased
bovine	härja-, tuim, apaatne ; veis
bovine animal	sõraline
Bovril	lihaleem
bow	kummardus, vibu, poogen, vöör ; kummardama
bow and arrow	vibu ja nooled
bow and scrape	kintsu kaapima, lömitama
bow-back chair	leentool
bowdlerisation	kombekaks tegemine, tsenseerimine
bowdlerise	ebasündsaid kohti välja jätma
bowdlerism	(teose) nudimine, tsensuur
bowdlerize	ebasündsaid kohti välja jätma, moonutades kärpima
bowdlerized	nuditud, tsenseeritud
bow down	kummardama, põlvitama
bow down before	(kellegi) ees kummardama
bowed	kaarjas, kummargil, kooldus
bowed down	(töö, vastutuse, mure)koorma all lookas
bowel	sisikond
bowelless	halastamatu, kivist südamega
bowel movement	roojamine
bowels	soolestik, sisikond, põu
bowels of the earth	maapõu
bower	lehtla, ronitaimede sõrestik, vööriankur
bowery	varjuline, lehestikuline
bowie knife	jahinuga
bowing	kummardamine, viiuldamine, alandlikkus
bowing acquaintance	põgus tutvus
bowing and scraping	kintsukraapimine, lömitamine
bowknot	lehv, saapapaela sõlm
bowl	kauss, staadion, kuul ; keeglit mängima
bowlder	rändrahn
bowled over	tummaks löödud
bowlegged	rangjalgne
bow-legged	rangjalgne
bowleggedness	rangjalgsus
bowlegs	rangjalad
bow legs	rangjalad
bowler	keeglimängija, pallija, kõvakübar
bowlful	kausitäis
bowl game	keegel
bowling	booling, keegel, pallimine
bowling alley	keeglisaal, keeglirada
bowling ball	keeglikuul
bowling green	keeeglimuru
bowling pin	keeglikurikas
bowl over	uppi lööma, hämmastusest tummaks lööma
bowls	kausid, murukeegel
bowman	vibukütt
bow out	lahkuma, taganema, ära ütlema
bow rudder	vöörirool
bowsaw	vibusaag
bow saw	vibusaag
bowshot	lask vibust
bowsprit	pukspriit
Bow street	- (tänav Londonis, esimene politseijaoskond)
Bow Street runner	ränddetektiiv (enne ametlikke politseijõude)
bowstring	vibunöör
bow the head	pead langetama, kummardama
bow-tie	kikilips
bowtie	kikilips
bow tie	kikilips
bow to	ees kummardama
bow wave	vöörilaine
bow window	ärkliaken, seinast eenduv aken
bow-window	ärkliaken, seinast eenduv aken
bow-wow	auh-auh, haukumine, kutsu
bowyang	säärekaitsed, säärevöö (nöör allpool põlve)
bowyer	vibumeister
Boötes	Karjane (tähtkuju)
box	karp, kast, loož, kõrvakiil, pukspuu ; poksima
box beam	< box girder
box calf	boks (pargitud veisenahk)
box-calf	boks (pargitud veisenahk)
boxcar	kaubavagun
boxcars	kaks kuute ühe täringupaari viskega
box coat	kutsarikuub
boxed	eraldatud, suletud, kammitsetud
